what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1579320401629
java.specification.name,sysinfo,,,"Java Platform API Specification",1579320401629
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1579320401629
java.specification.version,sysinfo,,,"1.6",1579320401629
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1579320401629
java.version,sysinfo,,,"1.6.0_23",1579320401629
java.vm.info,sysinfo,,,"mixed mode",1579320401629
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1579320401629
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1579320401629
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1579320401629
java.vm.specification.version,sysinfo,,,"1.0",1579320401629
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1579320401629
java.vm.version,sysinfo,,,"19.0-b09",1579320401629
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1579320401667
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1579320401673
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1579320401714
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1579320401732
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1579320402688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579320403324
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1579320403602
